metric,config_n,config_k,config,V0_median,V0_iqr,V0_n,V1_median,V1_iqr,V1_n,V2_median,V2_iqr,V2_n,V3_median,V3_iqr,V3_n
Propagations,100,20,"n=100, k=20",,,0,22610549.5,40284851.0,16,411086.0,947843.0,19,423409.0,1208022.5,19
Propagations,150,7,"n=150, k=7",,,0,29931051.0,11452544.5,11,492186.0,692872.5,19,545035.0,578925.0,20
Propagations,150,10,"n=150, k=10",,,0,25947711.5,27051130.25,6,365166.5,1498777.25,18,624895.5,627079.75,20
Propagations,150,15,"n=150, k=15",,,0,36163995.5,19473162.5,4,468633.5,1002243.0,20,1051107.0,1359824.75,20
Propagations,150,20,"n=150, k=20",,,0,102753599.5,58619663.5,2,2441884.0,3843019.5,19,1018924.5,1787194.75,18
Peak search depth,20,3,"n=20, k=3",70.5,8.0,30,71.0,9.0,30,69.0,9.25,30,68.0,9.5,30
Peak search depth,20,5,"n=20, k=5",100.0,18.75,30,100.5,16.75,30,90.0,18.25,30,87.5,18.75,30
Peak search depth,20,7,"n=20, k=7",121.0,84.5,30,102.5,26.5,30,101.0,21.0,30,101.5,25.0,30
Peak search depth,20,10,"n=20, k=10",125.0,112.0,27,109.0,38.5,30,101.5,36.25,30,104.5,41.25,30
Peak search depth,50,3,"n=50, k=3",170.0,13.0,25,167.0,14.0,25,163.0,14.0,25,166.0,13.0,25
Peak search depth,50,5,"n=50, k=5",326.5,42.5,18,283.0,29.0,20,259.5,43.0,20,272.5,39.25,22
Peak search depth,50,7,"n=50, k=7",462.0,75.0,7,346.0,54.75,24,332.0,70.0,24,326.0,66.0,23
Peak search depth,50,10,"n=50, k=10",538.0,157.0,5,397.0,99.0,22,371.0,109.0,23,400.0,107.0,23
Peak search depth,50,15,"n=50, k=15",877.0,414.0,5,390.0,97.0,23,396.0,195.0,23,402.0,278.0,23
Peak search depth,100,5,"n=100, k=5",614.0,93.5,11,549.5,62.75,18,530.5,98.0,18,560.0,96.5,19
Peak search depth,100,7,"n=100, k=7",,,0,730.5,108.25,18,652.0,145.25,16,634.0,80.0,17
Peak search depth,100,10,"n=100, k=10",,,0,868.0,186.5,19,741.0,273.25,18,782.0,178.25,18
Peak search depth,100,15,"n=100, k=15",,,0,881.0,277.0,17,769.0,159.0,17,820.0,289.5,19
Peak search depth,100,20,"n=100, k=20",,,0,889.0,217.25,16,859.0,403.0,19,875.0,602.5,19
Peak search depth,150,7,"n=150, k=7",,,0,1124.0,137.0,11,1130.0,157.0,19,1108.0,140.75,20
Peak search depth,150,10,"n=150, k=10",,,0,1362.0,370.0,6,1330.5,368.25,18,1329.0,314.0,20
Peak search depth,150,15,"n=150, k=15",,,0,1320.0,286.25,4,1540.5,752.0,20,1619.0,373.75,20
Peak search depth,150,20,"n=150, k=20",,,0,1168.5,36.5,2,2358.0,1049.5,19,1264.0,769.0,18
Restarts,20,3,"n=20, k=3",0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,5,"n=20, k=5",0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,7,"n=20, k=7",0.0,156.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,20,10,"n=20, k=10",0.0,188.0,27,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30
Restarts,50,3,"n=50, k=3",0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,1.0,25
Restarts,50,5,"n=50, k=5",238.0,1246.0,18,0.0,0.0,20,0.0,0.0,20,0.0,6.75,22
Restarts,50,7,"n=50, k=7",191.0,3419.0,7,0.0,7.5,24,0.0,1.25,24,0.0,0.0,23
Restarts,50,10,"n=50, k=10",223.0,429.0,5,0.0,1.5,22,0.0,0.0,23,0.0,2.0,23
Restarts,50,15,"n=50, k=15",192.0,702.0,5,0.0,0.0,23,0.0,0.0,23,0.0,1.5,23
Restarts,100,5,"n=100, k=5",2488.0,2720.0,11,67.5,122.75,18,0.0,7.5,18,1.0,14.0,19
Restarts,100,7,"n=100, k=7",,,0,174.0,270.25,18,0.0,1.0,16,0.0,0.0,17
Restarts,100,10,"n=100, k=10",,,0,360.0,651.0,19,0.0,1.5,18,0.0,1.0,18
Restarts,100,15,"n=100, k=15",,,0,287.0,415.0,17,0.0,0.0,17,0.0,2.5,19
Restarts,100,20,"n=100, k=20",,,0,290.0,457.5,16,0.0,0.5,19,0.0,2.0,19
Restarts,150,7,"n=150, k=7",,,0,1077.0,430.0,11,1.0,5.5,19,3.5,9.5,20
Restarts,150,10,"n=150, k=10",,,0,1679.0,1606.75,6,0.0,3.0,18,1.0,2.5,20
Restarts,150,15,"n=150, k=15",,,0,1089.0,1116.75,4,0.0,4.0,20,2.0,3.25,20
Restarts,150,20,"n=150, k=20",,,0,867.5,112.5,2,2.0,7.0,19,0.5,3.75,18
Avg LBD,20,3,"n=20, k=3",1.7297,0.8766,30,1.4978,0.3835,30,1.1238,0.7572,30,1.1169,0.4754,30
Avg LBD,20,5,"n=20, k=5",5.9693,3.4195,30,1.9679,1.3801,30,1.1646,0.4995,30,1.0612,0.2051,30
Avg LBD,20,7,"n=20, k=7",8.0156,4.2734,30,1.9656,1.1314,30,1.1496,0.7396,30,1.106,0.7258,30
Avg LBD,20,10,"n=20, k=10",7.8788,4.8867,27,2.3103,1.1937,30,1.208,1.592,30,1.1648,0.6045,30
Avg LBD,50,3,"n=50, k=3",4.2293,3.1055,25,3.8361,2.8734,25,2.0567,6.0928,25,3.0042,6.1316,25
Avg LBD,50,5,"n=50, k=5",10.8964,2.0495,18,10.6465,2.2702,20,3.031,7.9027,20,3.467,6.1686,22
Avg LBD,50,7,"n=50, k=7",11.0068,2.3833,7,13.6037,4.7319,24,3.5357,11.2144,24,4.1789,8.6013,23
Avg LBD,50,10,"n=50, k=10",10.7392,3.8039,5,16.6896,4.6732,22,6.1875,14.8978,23,8.9618,13.5447,23
Avg LBD,50,15,"n=50, k=15",11.7323,3.3754,5,17.9374,7.0298,23,6.4058,15.6354,23,4.9456,11.4691,23
Avg LBD,100,5,"n=100, k=5",10.9983,0.8373,11,17.3633,6.1752,18,11.9385,10.291,18,12.4503,14.959,19
Avg LBD,100,7,"n=100, k=7",,,0,22.8882,8.096,18,16.7484,13.1258,16,18.2368,15.817,17
Avg LBD,100,10,"n=100, k=10",,,0,31.0533,8.6394,19,14.9874,17.0429,18,23.5788,30.0993,18
Avg LBD,100,15,"n=100, k=15",,,0,35.9125,12.89,17,10.625,15.7003,17,23.2852,19.1253,19
Avg LBD,100,20,"n=100, k=20",,,0,40.0772,12.3514,16,12.1609,19.0515,19,15.9353,22.7285,19
Avg LBD,150,7,"n=150, k=7",,,0,29.5892,6.7971,11,23.4765,14.7544,19,30.1117,22.7983,20
Avg LBD,150,10,"n=150, k=10",,,0,44.0469,16.915,6,33.0081,29.7806,18,21.5106,16.1993,20
Avg LBD,150,15,"n=150, k=15",,,0,49.5785,21.8576,4,21.9761,16.8379,20,38.9949,38.0505,20
Avg LBD,150,20,"n=150, k=20",,,0,42.8847,15.1821,2,30.2619,25.3114,19,32.8754,34.8985,18
Avg nogood length,20,3,"n=20, k=3",2.9371,1.7603,30,1.752,0.6505,30,1.384,2.0092,30,1.2984,1.3556,30
Avg nogood length,20,5,"n=20, k=5",17.9739,9.5075,30,2.8396,2.0619,30,1.4728,1.6424,30,1.1896,1.014,30
Avg nogood length,20,7,"n=20, k=7",33.0367,16.3169,30,3.6266,2.9905,30,1.752,2.4438,30,1.8697,2.3861,30
Avg nogood length,20,10,"n=20, k=10",49.7292,25.7193,27,6.6461,5.2119,30,2.442,4.5663,30,2.6158,3.8657,30
Avg nogood length,50,3,"n=50, k=3",9.6909,6.8154,25,5.3413,8.3902,25,3.609,29.8342,25,6.9779,29.5345,25
Avg nogood length,50,5,"n=50, k=5",37.1905,12.259,18,17.9545,4.0241,20,5.0498,18.1034,20,7.2355,22.6696,22
Avg nogood length,50,7,"n=50, k=7",65.2421,19.0818,7,27.2316,7.0945,24,9.9663,37.559,24,11.0383,35.0322,23
Avg nogood length,50,10,"n=50, k=10",99.6045,48.9425,5,40.5947,15.2145,22,30.0461,59.8729,23,38.852,39.0048,23
Avg nogood length,50,15,"n=50, k=15",206.1008,69.564,5,65.5309,18.967,23,33.6985,80.6494,23,32.1247,71.5646,23
Avg nogood length,100,5,"n=100, k=5",38.6649,11.3646,11,29.8968,6.4667,18,28.8235,20.2947,18,31.1633,27.9477,19
Avg nogood length,100,7,"n=100, k=7",,,0,39.836,12.1656,18,36.835,20.3823,16,44.3918,30.0566,17
Avg nogood length,100,10,"n=100, k=10",,,0,65.859,19.9285,19,45.6265,45.9455,18,78.2509,52.4211,18
Avg nogood length,100,15,"n=100, k=15",,,0,102.1706,47.1163,17,49.3339,54.9887,17,96.1831,63.9336,19
Avg nogood length,100,20,"n=100, k=20",,,0,147.0413,53.5361,16,61.9455,116.9927,19,109.0418,106.045,19
