instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsTotal,circuitNumberCircuitConflicts,circuitNumberAlldiffConflicts,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberGacPrunings,circuitNumberPropagationsThatGacPruned,circuitNumberTotalPruningHallSetSize,circuitNumberNumberOfPruningExplanations,circuitNumberMaxPruningHallSetSize,circuitNumberTotalSccSizeAtPruning,circuitNumberNumberOfSccPruningCalls,circuitNumberTotalVarsInvolvedInPruning,circuitNumberMaxValuesPrunedFromSingleVar,circuitNumberHallCircuitChecks,circuitNumberHallCircuitPrunings,circuitNumberCircuitPreventPrunings,type,best_sol
pumpkin-v3/opt/n20_k10/instance_n20_k10_0000.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/222,OPTIMAL,19,0.42,0.11,10,12466,0.020619314,3340,249,0,10,6.9,22.7,9.1,1,6992,18,14,361,32,20013,3441,34030,20013,231,8561,3441,18539,124,6527,1398,2413,minimize,249
pumpkin-v3/opt/n20_k10/instance_n20_k10_0010.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/233,OPTIMAL,13,1.06,0.2,424,37301,0.114457665,2627,248,0,424,6.785377358490566,49.469339622641506,12.06367924528302,1,5952,212,6,3303,218,13891,3142,24331,13891,139,11940,3142,12594,54,6588,1396,2664,minimize,248
pumpkin-v3/opt/n20_k10/instance_n20_k10_0018.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/219,OPTIMAL,22,393.02,390.21,1440151,76037231,390.839076367,1448237,258,0,1440151,8.13432133158259,27.616849205395823,15.767655613890488,1,5850740,1000766,29886,17180688,1030652,9026616,2840804,18635947,9026616,237,10051735,2840804,7063178,105,9012497,34821,2702647,minimize,258
pumpkin-v3/opt/n20_k10/instance_n20_k10_0004.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/223,OPTIMAL,26,0.48,0.13,47,17769,0.032929485,4362,243,0,47,9.76595744680851,28.425531914893618,7.382978723404255,1,15163,351,6,5602,357,39018,7677,56489,39018,264,20589,7677,36564,125,14127,2008,5487,minimize,240
pumpkin-v3/opt/n20_k10/instance_n20_k10_0013.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/229,OPTIMAL,24,0.5,0.14,101,20004,0.037391961,4481,263,0,101,9.257425742574258,30.059405940594058,6.99009900990099,1,14898,713,0,11422,713,40426,7587,59679,40426,262,23519,7587,38178,106,15250,2429,5719,minimize,258
pumpkin-v3/opt/n20_k10/instance_n20_k10_0014.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/236,OPTIMAL,16,2.36,0.12000000000000001,85,14793,0.031687282,3046,253,0,85,10.564705882352941,36.411764705882355,12.258823529411766,1,7037,207,0,3373,207,19048,3598,29329,19048,149,11721,3598,17405,64,6848,874,2880,minimize,253
pumpkin-v3/opt/n20_k10/instance_n20_k10_0003.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/238,OPTIMAL,17,2.01,0.13,125,16621,0.036747968,2625,225,0,125,6.016,32.808,9.56,1,8092,323,7,3703,330,19349,4227,35785,19349,196,14644,4227,17355,73,8389,1421,3492,minimize,225
pumpkin-v3/opt/n20_k10/instance_n20_k10_0020.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/228,SATISFIABLE,13,1801.34,1791.33,4054741,207394749,1799.629633666,4060126,263,0,4054741,10.743629741085805,46.05596066431863,16.113342874427737,0,15368897,743992,333346,17843784,1077338,46691551,9634406,89849633,46691551,80,38709179,9634406,36458543,50,14144611,7888,9447670,minimize,263
pumpkin-v3/opt/n20_k10/instance_n20_k10_0029.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/216,OPTIMAL,10,0.44,0.09000000000000001,3,6908,0.008796087,2216,260,0,3,8.333333333333334,22,5.666666666666667,1,2352,4,0,56,4,6693,1165,7661,6693,84,1767,1165,6602,45,2153,321,789,minimize,253
pumpkin-v3/opt/n20_k10/instance_n20_k10_0017.fzn,experiments/20260610-15.09.41.739715-pumpkin-v3/230,OPTIMAL,13,0.41,0.1,22,9659,0.016965589,2513,257,0,22,11.590909090909092,23.954545454545453,10.954545454545455,1,4115,54,0,904,54,10899,2111,13930,10899,104,4094,2111,10612,45,4381,431,1674,minimize,257
