propagator_variant,config_n,config_k,instance,avg_depth_at_failure,circuit_conflict_rate,circuit_pruning_rate
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0005.fzn,84.8800523577044,0.20746545888172827,0.20071035970326373
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0016.fzn,66.77389327080225,0.019679147846212944,0.22245941104590083
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0011.fzn,,,
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0002.fzn,96.54540755369823,0.36141282830398175,0.16896377049245104
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0012.fzn,84.76366149592997,0.009691990881698764,0.14730665066170798
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0015.fzn,78.80794155578874,0.024381945598673765,0.2031427762844139
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0007.fzn,77.49147624553055,0.08624964892175907,0.3116593011622783
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0019.fzn,94.73657943647125,0.3275963200280228,0.10499172204579477
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0017.fzn,73.37436409744102,0.020956153279292556,0.1361565387449691
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0010.fzn,85.34777552041928,0.027739030712280247,0.1285440633171574
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0008.fzn,79.03852493065513,0.01425544538644068,0.1290720770386603
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0003.fzn,80.21715124405927,0.05824323569913283,0.16207048550374037
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0009.fzn,77.96101426307449,0.016641762421792758,0.07145069298604534
V0,100,7,pumpkin-v0/opt/n100_k7/instance_n100_k7_0004.fzn,76.00820004804069,0.019211612737322636,0.07594037941069387
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0012.fzn,145.35036780040193,0.22294346792144398,0.10229760137960694
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0008.fzn,138.28607395351202,0.03305104369836825,0.22979085127184432
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0000.fzn,138.76483709083118,0.1605422118072123,0.21134031476546034
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0003.fzn,134.54250041342814,0.059032557231415046,0.14704007419339093
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0004.fzn,145.0175298920124,0.3056326718415074,0.16494749579147855
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0015.fzn,,,
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0009.fzn,,,
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0010.fzn,,,
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0011.fzn,,,
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0002.fzn,136.30953969312876,0.03350199805111793,0.18984167568099125
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0005.fzn,143.45305635148043,0.09053255972814292,0.3496657990989978
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0007.fzn,,,
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0014.fzn,126.13119216113228,0.0018245734385015124,0.16527255041662914
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0013.fzn,145.77577555879893,0.16404241230521563,0.1281814365040191
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0019.fzn,147.13849106242918,0.392054733660107,0.1903957116815821
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0001.fzn,146.42102510463778,0.36789233157714035,0.2371795947988979
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0006.fzn,129.0955271961343,0.0070220130669823135,0.1751840439956829
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0018.fzn,129.07080545514003,0.03398274626460413,0.24803280864885385
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0016.fzn,121.75974685613535,0.02352489076444152,0.13145377029204838
V0,150,15,pumpkin-v0/opt/n150_k15/instance_n150_k15_0017.fzn,139.03400482647243,0.14022742473252517,0.16525206381109359
V0,50,3,pumpkin-v0/opt/n50_k3/instance_n50_k3_0021.fzn,23.606444796619122,0.04898307716193138,0.3740619986544532
V0,50,3,pumpkin-v0/opt/n50_k3/instance_n50_k3_0012.fzn,34.1315854563443,0.14643245201014124,0.3854400579500181
V0,50,3,pumpkin-v0/opt/n50_k3/instance_n50_k3_0010.fzn,30.24770642201835,0.08963815789473684,0.33305921052631576
V0,50,3,pumpkin-v0/opt/n50_k3/instance_n50_k3_0018.fzn,30.82526712759271,0.0731258905179942,0.44388013053270214
