instance,directory,status,num_solutions,wall_clock_time,cpu_time,failures,propagations,solveTime,nodes,peakDepth,restarts,nogoods,AverageLbd,AverageLearnedNogoodLength,AverageConflictSize,NumUnitNogoodsLearned,circuitNumberPropagationsThatFoundConflict,circuitNumberTotalFixedEdgesAtConflict,circuitNumberNumberOfConflicts,circuitNumberPropagationsThatPruned,circuitNumberPropagationsTotal,type,best_sol
pumpkin-v0/opt/n100_k10/instance_n100_k10_0004.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/380,SATISFIABLE,1,1800.0,1800.0,1237780,841492975,580.881919334,2493757,1174,0,1237780,17.40160610124578,44.54928904975036,15.859185800384559,0,26816,2168032,26816,530611,2672828,minimize,2493757
pumpkin-v0/opt/n100_k10/instance_n100_k10_0006.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/384,SATISFIABLE,6,1803.03,1785.79,2780004,1820590793,1792.624077398,4983875,1116,0,2780004,46.874950539639514,63.19617885441892,49.59567036594192,0,5014767,478799907,5014767,4017053,23189752,minimize,805808
pumpkin-v0/opt/n100_k10/instance_n100_k10_0007.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/390,SATISFIABLE,2,1800.0,1800.0,116158,93916115,83.987860966,178790,1147,0,116158,51.38222076826391,59.3545171232287,6.2639163897450025,0,15474,1427343,15474,234804,558802,minimize,150904
pumpkin-v0/opt/n100_k10/instance_n100_k10_0019.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/377,SATISFIABLE,4,1800.0,1800.0,3920,2949440,1.949883061,11857,1180,0,3920,38.035714285714285,46.35739795918367,45.45331632653061,0,8332,788046,8332,4201,30947,minimize,1850
pumpkin-v0/opt/n100_k10/instance_n100_k10_0003.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/383,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0014.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/381,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0017.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/391,UNKNOWN,0,1800.0,1800.0,-,-,-,-,-,-,-,-,-,-,-,"","","","","",minimize,
pumpkin-v0/opt/n100_k10/instance_n100_k10_0002.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/395,SATISFIABLE,3,1802.08,1762.94,2191950,1304642300,1777.264328716,2492504,1137,1,2191950,29.72448048541253,57.77568648919912,18.29916923287484,0,65450,5524971,65450,530176,3509497,minimize,470733
pumpkin-v0/opt/n100_k10/instance_n100_k10_0013.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/382,SATISFIABLE,1,1800.0,1800.0,111,127411,0.069005264,1397,1175,0,111,38.5945945945946,45.65765765765766,36.927927927927925,0,59,5373,59,99,418,minimize,1397
pumpkin-v0/opt/n100_k10/instance_n100_k10_0001.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/376,SATISFIABLE,12,1801.46,1779.31,2525791,1935664223,1787.829005407,3544028,1138,0,2525791,41.448285705349335,91.75167383207874,30.564727247820585,0,170232,13710805,170232,1147478,6736165,minimize,1193
pumpkin-v0/opt/n100_k10/instance_n100_k10_0005.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/388,SATISFIABLE,15,1800.0,1800.0,5896,5061239,4.470151943,27337,1159,0,5896,53.43080054274084,74.41875848032565,4.730664857530529,0,891,78871,891,35211,133851,minimize,1201
pumpkin-v0/opt/n100_k10/instance_n100_k10_0009.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/394,SATISFIABLE,2,1803.64,1770.58,2198338,1514717340,1776.679517781,3304318,1122,0,2198338,57.43187944710959,69.7326089072745,69.85653752971562,0,1747254,160802205,1747254,1002142,5757000,minimize,7105
pumpkin-v0/opt/n50_k7/instance_n50_k7_0006.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/241,SATISFIABLE,9,1804.16,1771.16,4077329,1456150508,1781.225992326,5199964,401,0,4077329,16.680371635450562,37.956368985676654,17.938818770817857,0,1023551,37145432,1023551,2061870,10263312,minimize,764
pumpkin-v0/opt/n50_k7/instance_n50_k7_0003.fzn,experiments/20260609-14.46.48.023744-pumpkin-v0/251,SATISFIABLE,2,1803.4,1768.63,5326193,1838725254,1777.36633545,5838446,412,0,5326193,23.59141829821037,37.156228848635415,10.299271355731946,0,1873669,82306051,1873669,9345585,20538012,minimize,168194
